样本编号	批次号	项目代码	捕获芯片	分析范围	捕获率	目标区域平均深度	目标区域覆盖度(%)	测序数据量(M)	重复率	去重复深度	比对(PE)	比对(SE)	插入片段均值	>=2x目标区域覆盖度(%)	>=5x目标区域覆盖度(%)	>=10x目标区域覆盖度(%)	>=20x目标区域覆盖度(%)	>=30x目标区域覆盖度(%)	>=40x目标区域覆盖度(%)	>=50x目标区域覆盖度(%)	>=100x目标区域覆盖度(%)	GC含量	Q20	Q30	"波动值
"
AEY341	b6647auto	NBCW	NT01T	NT01T	52.91	1063.34	99.97	108858	0.084447094420944	967.08	99.12	0.25	211.13	99.97		99.89	99.74	99.69	99.65	99.62	99.45	46.58	98.33	93.31	0.208160216938
AEY341DZ	b6647auto	NBCW	NT01T	NT01T	52.73	102.57	99.87	11005	0.0182584696683659	100.84	96.5	0.36	232.43	99.79		99.46	99.15	98.52	96.81	93.18	43.53	46.5	98.47	93.85	0.219910847984
AEY546	b6650auto	NBAP	NLP	NLP	42.03	9915.52	100.0	21047	0.189265469773202	6552.01	99.24	0.16	200.28	100.0		100.0	100.0	100.0	100.0	100.0	100.0	48.54	98.53	94.57	0.259376344077
AEY546DZ	b6650auto	NBAP	NLP	NLP	45.1	2148.86	100.0	4880	0.109613562855739	1756.75	85.17	1.06	192.51	100.0		100.0	100.0	100.0	100.0	100.0	99.96	48.4	98.5	94.5	0.336160725499
AEY543	b6650auto	NCP980	NPC980	NPC980	14.22	1073.28	100.0	19916	0.0394326148805344	985.81	99.32	0.21	202.88	99.99		99.96	99.9	99.82	99.73	99.65	99.13	48.13	98.4	94.04	0.410133320903
AEY543DZ	b6650auto	NCP980	NPC980	NPC980	56.24	102.29	99.86	9742	0.0224466929466344	100.33	99.22	0.21	197.93	99.78		99.5	99.25	98.66	97.0	93.33	42.47	47.33	98.62	94.83	0.215874507873
AEY619	b6650auto	NCP980c	NPC980	NPC980	15.82	2769.79	99.97	46035	0.175236575134789	1242.28	99.57	0.12	175.34	99.95		99.92	99.91	99.89	99.86	99.85	99.75	49.03	98.56	94.74	0.199698347129
AEY619DZ	b6650auto	NCP980c	NPC980	NPC980	57.66	141.17	99.69	13267	0.0289586414424175	137.54	99.29	0.19	205.7	99.61		99.34	99.16	98.95	98.57	97.77	74.96	46.88	98.65	94.91	0.229666776388
AEY552	b6650auto	NCP393	NPC980	NPC980	15.89	1270.26	99.96	20931	0.0538521653196399	1090.02	99.55	0.13	209.8	99.93		99.91	99.88	99.83	99.77	99.68	98.95	49.04	98.46	94.28	0.51555156719
AEY552DZ	b6650auto	NCP393	NPC980	NPC980	49.78	120.6	99.89	13012	0.0262017779913338	117.94	99.13	0.24	191.85	99.84		99.55	99.36	99.02	98.16	96.18	60.08	46.22	98.63	94.8	0.220770121331
AEY551	b6650auto	NBCW	NT01T	NT01T	54.5	853.73	99.88	83608	0.0789565597122081	782.23	99.26	0.18	194.14	99.84		99.66	99.53	99.48	99.44	99.4	99.23	46.63	98.47	94.24	0.218598594215
AEY551DZ	b6650auto	NBCW	NT01T	NT01T	66.13	150.31	99.71	13460	0.0324216538099271	145.17	90.4	0.8	203.45	99.63		99.39	99.26	99.13	98.91	98.4	80.45	48.93	98.55	94.7	0.233195865135
AEY420	b6647auto	NBCW	NT01T	NT01T	47.71	652.15	99.99	74960	0.05785295997579	612.07	99.04	0.25	218.73	99.98		99.87	99.71	99.65	99.58	99.53	99.33	46.03	98.49	94.01	0.209777219462
AEY420DZ	b6650auto	NBCW	NT01T	NT01T	60.71	147.98	99.87	13783	0.0315253437951801	143.36	94.02	0.65	206.17	99.81		99.61	99.48	99.34	99.02	98.31	78.73	48.01	98.57	94.75	0.239974706517
AEY617	b6650auto	NCP980c	NPC980	NPC980	14.9	2726.35	100.0	48337	0.108185026540531	1707.62	99.42	0.14	196.84	99.98		99.93	99.87	99.84	99.81	99.78	99.64	47.73	98.6	94.81	0.274678530832
AEY617DZ	b6650auto	NCP980c	NPC980	NPC980	52.62	143.12	99.74	14815	0.0278108960307609	139.65	99.28	0.17	205.35	99.66		99.41	99.24	99.05	98.73	98.03	75.97	46.39	98.63	94.87	0.240935512431
AEY549	b6650auto	NBCW	NT01T	NT01T	53.58	898.06	99.99	91002	0.0777076798382251	824.56	99.14	0.22	203.6	99.98		99.88	99.76	99.73	99.7	99.68	99.54	46.78	98.4	93.9	0.221390114115
AEY549DZ	b6650auto	NBCW	NT01T	NT01T	68.88	121.4	99.82	12267	0.0430063203266006	116.04	76.5	1.48	210.51	99.76		99.53	99.34	99.03	98.27	96.57	62.24	49.16	98.42	94.16	0.211539642104
AEY547	b6650auto	NBCW	NT01T	NT01T	49.85	849.17	99.98	92139	0.0717960550771744	785.2	99.16	0.22	201.2	99.97		99.88	99.74	99.69	99.67	99.64	99.51	46.61	98.62	94.78	0.220206896568
AEY547DZ	b6650auto	NBCW	NT01T	NT01T	60.46	146.71	99.86	13836	0.0288940859706033	142.44	93.01	0.87	196.83	99.8		99.59	99.45	99.3	99.01	98.32	78.21	47.9	98.58	94.78	0.221101772712
AEY812	b6653auto	NCp1	NPC69	NPC69	31.05	2716.61	100.0	3228	0.0941737367818434	2208.53	99.16	0.17	220.03	100.0		99.85	99.54	99.42	99.32	99.25	99.01	43.35	98.46	94.21	0.17331704448
AEY813DZ	b6653auto	NCp1	NPC69	NPC69	56.29	118.44	99.85	11442	0.0201517721614075	116.51	99.25	0.2	199.49	99.77		99.47	99.27	98.87	97.94	96.0	62.07	46.35	98.43	94.19	0.191353305467
AEY809	b6653auto	NBAP	NLP	NLP	49.3	12980.14	99.42	23739	0.20451993709227	8552.64	99.12	0.25	207.034	100.0		100.0	100.0	100.0	100.0	100.0	100.0	48.14	97.24	91.87	
AEY809DZ	b6653auto	NBAP	NLP	NLP	51.7	1716.95	99.42	3713	0.0687500035627105	1545.38	82.89	0.82	261.805	100.0		100.0	100.0	100.0	100.0	100.0	99.98	47.58	96.29	89.22	
AFH030	b6746auto	NBCW	NT01T	NT01T	76.92	1645.52	99.42	108079	0.1848266678336	1329.49	99.66	0.08	202.614	99.69		99.45	99.38	99.34	99.32	99.31	99.25	51.25	98.24	94.65	
AFH030DZ	b6768auto	NBCW	NT01T	NT01T	75.79	327.08	99.42	21768	0.0819523113709695	299.2	99.34	0.21	195.45	99.48		99.32	99.27	99.23	99.19	99.14	98.52	49.89	98.3	94.87	
AEY814	b6653auto	NCp2	NPC69	NPC69	35.86	20360.99	100.0	21010	0.362006299793334	5021.92	99.15	0.17	164.81	100.0		100.0	99.97	99.95	99.92	99.9	99.8	44.61	98.72	95.31	0.0736572013268
AEY624	b6653auto	NCP393	NPC980	NPC980	37.46	3027.2	100.0	21029	0.0738771842668701	2577.67	99.35	0.19	221.12	99.97		99.94	99.89	99.85	99.83	99.79	99.6	50.39	98.24	93.55	0.486206895266
AEY624DZ	b6650auto	NCP393	NPC980	NPC980	51.02	124.96	99.72	13151	0.0244769977357274	122.24	99.07	0.3	178.95	99.65		99.4	99.23	98.93	98.16	96.28	61.34	45.86	98.69	95.08	0.245761416435
AEY615	b6653auto	NCP393	NPC980	NPC980	26.91	1426.89	99.98	14598	0.0561388531579707	1228.03	99.34	0.15	228.44	99.97		99.9	99.87	99.81	99.73	99.66	99.38	46.82	98.27	93.6	0.297731232434
AEY615DZ	b6650auto	NCP393	NPC980	NPC980	53.45	141.13	99.91	14287	0.0254521346879646	138.11	99.22	0.2	199.7	99.84		99.56	99.37	99.13	98.68	97.7	74.44	46.25	98.6	94.76	0.221792246361
AEY815	b6653auto	NCP980	NPC980	NPC980	28.28	2181.1	99.98	20459	0.0535595122711534	1928.39	99.3	0.2	200.39	99.94		99.92	99.89	99.86	99.81	99.77	99.56	47.53	98.41	94.13	0.31706093062
AEY816DZ	b6653auto	NCP980	NPC980	NPC980	50.23	110.73	99.69	11667	0.0225620166169417	108.72	98.98	0.35	162.43	99.59		99.23	99.07	98.75	97.88	95.74	54.34	46.42	98.74	95.3	0.173363734536
AEY817	b6653auto	NCP980	NPC980	NPC980	32.89	1828.21	99.98	14564	0.064595751742023	1575.62	99.42	0.16	201.89	99.94		99.9	99.85	99.79	99.73	99.67	99.44	48.27	98.47	94.4	0.307225925983
AEY818DZ	b6653auto	NCP980	NPC980	NPC980	62.66	136.0	99.66	11573	0.0139877325325912	134.28	99.38	0.16	205.15	99.58		99.22	99.06	98.86	98.51	97.83	76.74	47.34	98.42	94.25	0.166062408938
AEY818	b6652auto	NCP980c	NPC980	NPC980	38.55	6220.75	99.98	42890	0.29126260455134	2437.41	99.59	0.1	178.01	99.94		99.94	99.92	99.91	99.9	99.89	99.83	49.53	98.95	95.79	0.17238071691
AEY616	b6653auto	NCP980	NPC980	NPC980	31.59	2553.33	100.0	19697	0.236510314313454	1087.94	99.64	0.1	148.68	99.99		99.95	99.91	99.87	99.83	99.8	99.67	51.55	98.7	95.35	0.333807931243
AEY623	b6653auto	NCP393	NPC980	NPC980	32.86	2254.01	99.98	17922	0.0616572498977552	1952.15	99.3	0.19	217.66	99.94		99.91	99.86	99.82	99.78	99.73	99.52	49.78	98.28	93.71	0.463187408149
AEY623DZ	b6650auto	NCP393	NPC980	NPC980	50.57	105.21	99.75	11127	0.025534425176063	102.92	99.12	0.24	183.47	99.66		99.36	99.15	98.63	97.09	93.48	43.61	46.63	98.63	94.85	0.244539305782
AEY618	b6653auto	NCP393	NPC980	NPC980	37.18	2819.58	99.97	20895	0.0748692315645934	2373.79	99.42	0.15	233.76	99.97		99.94	99.91	99.88	99.84	99.8	99.6	48.71	98.12	93.09	0.357674330926
AEY618DZ	b6650auto	NCP393	NPC980	NPC980	56.62	160.88	99.9	15325	0.027147380698962	157.03	99.25	0.2	198.42	99.84		99.58	99.42	99.25	98.98	98.46	83.96	46.87	98.72	95.17	0.216604126948
AEY828	b6653auto	NBAP	NLP	NLP	54.3	13539.84	100.0	21924	0.201370773537625	9202.83	99.22	0.23	184.99	100.0		100.0	100.0	100.0	100.0	100.0	100.0	48.32	98.49	94.49	0.190926475231
AEY826DZ	b6653auto	NBAP	NLP	NLP	70.1	156.4	99.81	11765	0.0252534397189212	152.45	97.84	0.34	190.98	99.74		99.45	99.32	99.19	98.98	98.52	85.98	49.38	98.49	94.55	0.163952822511
AEY807	b6652auto	NCP980c	NPC980	NPC980	38.9	6276.57	100.0	44208	0.336732491578473	2066.35	99.64	0.11	183.09	99.99		99.97	99.96	99.93	99.92	99.91	99.84	48.81	98.96	95.83	0.159351393158
AEY807DZ	b6653auto	NCP980c	NPC980	NPC980	67.1	159.28	99.84	12729	0.0163418316298666	156.9	99.43	0.15	208.38	99.77		99.46	99.3	99.14	98.87	98.39	85.9	47.43	98.53	94.6	0.170478572166
AEY816	b6653auto	NCP980c	NPC980	NPC980	29.26	4925.7	99.98	44217	0.131867171248931	3608.72	99.26	0.28	149.05	99.94		99.94	99.93	99.93	99.92	99.91	99.87	48.14	98.63	94.98	0.243075982982
AEY808	b6653auto	NCP980c	NPC980	NPC980	37.22	5950.55	100.0	42742	0.3250171984853	1831.92	99.49	0.14	174.08	99.99		99.99	99.96	99.94	99.92	99.9	99.81	49.02	98.62	94.98	0.169250020353
